Location_name,year,ISO_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Mid and East Antrim,2020,GB-MEA,-29.66216216216216,-4.739864864864865,-10.621621621621621,-35.53716216216216,-33.666666666666664,12.357933579335793
Middlesbrough,2020,GB-MDB,-39.597972972972975,-11.08445945945946,-13.232142857142858,-44.58783783783784,-30.88888888888889,10.202205882352942
Midlothian,2020,GB-MLN,-32.273648648648646,-8.631756756756756,0.5,-29.07508532423208,-38.91428571428571,12.963302752293577
Milton Keynes,2020,GB-MIK,-37.47040498442367,-16.722741433021806,22.06081081081081,-46.92767295597484,-37.58730158730159,14.081504702194357
Monmouthshire,2020,GB-MON,-38.24662162162162,-16.99662162162162,-6.342412451361867,-31.47972972972973,-37.94019933554817,11.411042944785276
Moray,2020,GB-MRY,-31.425675675675677,-11.905405405405405,6.261061946902655,-31.64516129032258,-31.06418918918919,7.788659793814433
Neath Port Talbot Principle Area,2020,GB-NTL,-33.608108108108105,2.8378378378378377,2.6401869158878504,-42.847972972972975,-34.34603174603175,11.902985074626866
Newport,2020,GB-NWP,-41.25252525252525,-12.908783783783784,3.1904761904761907,-41.87837837837838,-36.43492063492064,13.044520547945206
"Newry, Mourne and Down",2020,GB-NMD,-29.195945945945947,-2.3783783783783785,2.7523364485981308,-26.713310580204777,-31.77777777777778,12.134057971014492
Norfolk,2020,GB-NFK,-32.63239875389408,-10.12461059190031,50.592592592592595,-36.62928348909657,-31.847352024922117,11.102803738317757
North Ayrshire Council,2020,GB-NAY,-27.72972972972973,-0.9256756756756757,-9.831460674157304,-22.48310810810811,-33.98412698412698,11.402255639097744
North East Lincolnshire,2020,GB-NEL,-33.38175675675676,-9.297297297297296,12.01195219123506,-23.929054054054053,-27.901587301587302,8.814569536423841
North Lanarkshire,2020,GB-NLK,-34.34437086092715,-10.623052959501557,-45.0,-39.7,-35.26729559748428,12.15576323987539
North Lincolnshire,2020,GB-NLN,-32.810810810810814,-8.317567567567568,3.1220338983050846,-22.760135135135137,-29.02857142857143,9.96085409252669
North Somerset,2020,GB-NSM,-37.03703703703704,-12.060200668896321,35.93559322033898,-49.29780564263323,-36.507936507936506,13.13953488372093
North Yorkshire,2020,GB-NYK,-29.757009345794394,-7.277258566978193,40.97666666666667,-26.770440251572328,-34.6822429906542,11.78816199376947
Northamptonshire,2020,GB-NTH,-36.88473520249221,-12.277258566978194,-0.06756756756756757,-34.28660436137071,-32.02492211838006,12.046728971962617
Northumberland,2020,GB-NBL,-33.63245033112583,-4.943217665615142,44.4527027027027,-21.175675675675677,-34.9622641509434,11.209375
Nottingham,2020,GB-NGM,-52.69781931464174,-17.554517133956388,32.94604316546763,-53.62305295950156,-39.638364779874216,12.133956386292835
Nottinghamshire,2020,GB-NTT,-37.2803738317757,-11.757009345794392,15.152027027027026,-27.707165109034268,-34.35202492211838,12.009345794392523
Orkney,2020,GB-ORK,-31.25,-10.357142857142858,,-70.0,-36.40952380952381,
Oxfordshire,2020,GB-OXF,-41.57632398753894,-15.869158878504672,15.891891891891891,-42.386292834890966,-39.822429906542055,15.146417445482866
Pembrokeshire,2020,GB-PEM,-31.175675675675677,-4.753378378378378,13.453183520599252,-29.758503401360546,-31.22895622895623,9.344660194174757
Perth and Kinross,2020,GB-PKN,-37.895270270270274,-13.77027027027027,20.881756756756758,-35.50675675675676,-37.54920634920635,12.227611940298507
Peterborough,2020,GB-PTE,-35.94704049844237,-12.307692307692308,-13.608695652173912,-46.13175675675676,-30.965079365079365,10.984276729559749
Plymouth,2020,GB-PLY,-40.9771986970684,-15.28930817610063,26.844594594594593,-31.697068403908794,-37.0125786163522,10.9874213836478
Portsmouth,2020,GB-POR,-40.278481012658226,-14.550314465408805,14.260416666666666,-34.46666666666667,-38.993650793650794,12.140127388535031
Powys,2020,GB-POW,-35.641891891891895,-11.79054054054054,14.672413793103448,-30.86394557823129,-31.984126984126984,11.766949152542374
Reading,2020,GB-RDG,-47.717948717948715,-14.929765886287626,16.622340425531913,-60.11526479750779,-43.888888888888886,17.306859205776174
Redcar and Cleveland,2020,GB-RCC,-39.179054054054056,-9.074324324324325,-0.4409448818897638,-24.16554054054054,-30.812698412698413,10.313653136531366
Renfrewshire,2020,GB-RFW,-38.788079470198674,-4.280405405405405,2.926829268292683,-55.773851590106005,-39.22857142857143,13.552188552188552
Rhondda Cynon Taff,2020,GB-RCT,-38.875,-10.063545150501673,-8.985074626865671,-42.483108108108105,-34.86031746031746,12.337579617834395
Rutland,2020,GB-RUT,-28.388235294117646,-0.2549019607843137,-55.8,,-38.00377358490566,9.090909090909092
Scottish Borders,2020,GB-SCB,-29.82372881355932,-11.222972972972974,11.007547169811321,-28.91216216216216,-32.916666666666664,10.369158878504672
Shetland Islands,2020,GB-ZET,-51.608695652173914,-23.434782608695652,,-43.561797752808985,-36.85781990521327,
Shropshire,2020,GB-TFW,-33.99688473520249,-10.557632398753894,28.277397260273972,-31.00337837837838,-32.0314465408805,11.741433021806854
Slough,2020,GB-SLG,-34.58108108108108,-18.780405405405407,11.1651376146789,-50.375,-38.51111111111111,14.52482269503546
Somerset,2020,GB-SOM,-33.087227414330215,-9.246105919003115,30.716216216216218,-16.876190476190477,-31.925233644859812,11.118380062305295
South Ayrshire Council,2020,GB-SAY,-37.54054054054054,-9.554054054054054,-1.331360946745562,-33.84121621621622,-36.119354838709675,10.106796116504855
